,Link,Name,Price,Rating,# of Ratings
43,https://www.amazon.com/WeMo-Smart-Light-Switch-2ND/dp/B07RT8H9WH/ref=sr_1_47?dchild=1&keywords=homekit+light&qid=1614548112&sr=8-47,WeMo Smart Light Switch 2ND Gen,29.99,4.5 out of 5 stars,2018
44,https://www.amazon.com/Sylvania-Smart-Home-74988-Adjustable/dp/B078J2HFMV/ref=sr_1_48?dchild=1&keywords=homekit+light&qid=1614548112&sr=8-48,"LEDVANCE 74988 Smart+ BR30 LED Bulb, Works with Apple HomeKit and Siri Voice Control, 1 Pack, Adjustable White and Full Color",24.99,3.9 out of 5 stars,48
45,https://www.amazon.com/Control-Devices-Remotely-Assistant-HomeKit/dp/B08CJTMBF8/ref=sr_1_49?dchild=1&keywords=homekit+light&qid=1614548112&sr=8-49,"Wemo Smart Plug (Simple Setup Smart Outlet for Smart Home, Control Lights and Devices Remotely Works w/ Alexa, Google Assistant, Apple HomeKit), Pack of 3",49.99,4.1 out of 5 stars,15694
46,https://www.amazon.com/Legrand-Q-Switch-HomeKit-Assistant/dp/B07FPBB1NL/ref=sr_1_50?dchild=1&keywords=homekit+light&qid=1614548112&sr=8-50,"Legrand, Smart Light Switch, Apple Homekit, Quick Setup on iOS (iPhone or iPad), No Hub Required, HKRL10",34.99,4.2 out of 5 stars,407
47,https://www.amazon.com/Lutron-P-PKG1WB-WH-Caseta-Wireless-Dimmer/dp/B07HM6L48C/ref=sr_1_51?dchild=1&keywords=homekit+light&qid=1614548112&sr=8-51,"Lutron Caseta Smart Home Dimmer Switch and Pico Remote Kit, Works with Alexa, Apple HomeKit, and the Google Assistant | P-PKG1WB-WH | White",64.95,4.8 out of 5 stars,1389
48,https://www.amazon.com/Lutron-Wireless-Lighting-P-BDG-PKG1W-Assistant/dp/B07G5V6M6G/ref=sr_1_52?dchild=1&keywords=homekit+light&qid=1614548112&sr=8-52,"Lutron Caseta Smart Start Kit, Dimmer Switch with Smart Bridge and Wall Mount Pico Adapter, Works with Alexa, Apple HomeKit, and the Google Assistant | P-BDG-PKG1W-A | White",99.95,4.8 out of 5 stars,1276
49,https://www.amazon.com/Assistant-Dimmable-Equivalent-Required-Multi-Colored/dp/B08L4FCBCJ/ref=sr_1_53?dchild=1&keywords=homekit+light&qid=1614548112&sr=8-53,"Smart Light Bulb, WiFi LED Light Bulbs, Work with Apple HomeKit, Alexa, Google Assistant, Dimmable A19 E26 Bulb 60 Watt Equivalent, 2.4GHz WiFi Only, No Hub Required (Multi-Colored)",8.99,3.2 out of 5 stars,26
50,https://www.amazon.com/MagicLight-Required-Multicolor-Equivalent-Compatible/dp/B07VQLZBNW/ref=sr_1_54?dchild=1&keywords=homekit+light&qid=1614548112&sr=8-54,"MagicLight Smart WiFi Bulb No Hub Required, Dimmable Multicolor E26 A19 7W (60w Equivalent) RGBCW LED Smart Light, Compatible with Alexa Google Home and Siri (4 Pack)",32.99,4.3 out of 5 stars,3211
51,https://www.amazon.com/Lutron-Wireless-Lighting-PD-6WCL-WH-Assistant/dp/B00KLAXFQA/ref=sr_1_55?dchild=1&keywords=homekit+light&qid=1614548112&sr=8-55,"Lutron Caseta Smart Home Dimmer Switch, Works with Alexa, Apple HomeKit, and the Google Assistant | for LED Light Bulbs, Incandescent Bulbs and Halogen Bulbs | PD-6WCL-WH | White",59.95,4.8 out of 5 stars,2464
52,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_btf_aps_sr_pg1_1?ie=UTF8&adId=A01126163HBNGLH3EJNAA&url=%2FInowel-Waterproof-Lighting-Mounting-Aluminium%2Fdp%2FB01DTNBZSK%2Fref%3Dsr_1_56_sspa%3Fdchild%3D1%26keywords%3Dhomekit%2Blight%26qid%3D1614548112%26sr%3D8-56-spons%26psc%3D1&qualifier=1614548111&id=294824532174403&widgetName=sp_btf,Inowel Wall Light Outdoor LED Wall Mount Lamp Modern Wall Sconce Lighting Lantern Fixture Dark Grey Aluminum Lights for Porch Front Door Garden Yard Patio IP54 Waterproof 10W 680Lm 3000K,69.99,4.3 out of 5 stars,24
